member_id,stored_validation_rank,cohort,bottleneck_width,narrow_bottleneck_C_le_11,kernel_sizes,canonical_function,estimand
2864601_0.277,25,stored_validation_ranks_11_50,31,False,12|7|4|13|10,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.463,26,stored_validation_ranks_11_50,23,False,5|5|9|13|2,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.229,27,stored_validation_ranks_11_50,22,False,12|8|7|11|11,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.224,28,stored_validation_ranks_11_50,27,False,8|6|10|12|5,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.373,29,stored_validation_ranks_11_50,20,False,14|4|9|12|11,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.481,30,stored_validation_ranks_11_50,22,False,3|12|10|2|8,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.289,31,stored_validation_ranks_11_50,27,False,7|6|3|9|13,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.393,32,stored_validation_ranks_11_50,28,False,14|4|13|7|5,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.406,33,stored_validation_ranks_11_50,24,False,7|8|3|11|8,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.206,34,stored_validation_ranks_11_50,28,False,14|5|9|15|11,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.284,35,stored_validation_ranks_11_50,29,False,14|2|11|6|10,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.235,36,stored_validation_ranks_11_50,27,False,7|8|8|16|13,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.405,37,stored_validation_ranks_11_50,15,False,3|12|6|11|13,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.398,38,stored_validation_ranks_11_50,14,False,14|2|16|9|6,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.358,39,stored_validation_ranks_11_50,26,False,16|2|3|9|10,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.242,40,stored_validation_ranks_11_50,31,False,13|2|10|3|12,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.490,41,stored_validation_ranks_11_50,28,False,3|11|16|15|7,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.263,42,stored_validation_ranks_11_50,28,False,4|3|3|11|12,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.211,43,stored_validation_ranks_11_50,28,False,7|4|2|13|4,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.292,44,stored_validation_ranks_11_50,21,False,4|2|7|11|10,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.276,45,stored_validation_ranks_11_50,32,False,7|5|8|8|13,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.427,46,stored_validation_ranks_11_50,29,False,12|2|2|12|4,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.461,47,stored_validation_ranks_11_50,29,False,15|4|4|8|10,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.471,48,stored_validation_ranks_11_50,30,False,3|3|5|4|4,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.440,49,stored_validation_ranks_11_50,16,False,14|3|5|12|11,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.457,50,stored_validation_ranks_11_50,24,False,3|15|11|13|7,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.400,51,stored_validation_ranks_51_100,27,False,14|9|11|10|13,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.385,52,stored_validation_ranks_51_100,21,False,13|10|8|7|12,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.350,53,stored_validation_ranks_51_100,27,False,9|2|10|11|8,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.416,54,stored_validation_ranks_51_100,14,False,6|15|11|10|13,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.342,55,stored_validation_ranks_51_100,31,False,9|13|15|5|13,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.359,56,stored_validation_ranks_51_100,23,False,10|11|2|10|12,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.475,57,stored_validation_ranks_51_100,30,False,8|16|11|7|12,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.462,58,stored_validation_ranks_51_100,7,True,9|4|15|10|2,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.268,59,stored_validation_ranks_51_100,28,False,15|3|12|10|12,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.262,60,stored_validation_ranks_51_100,27,False,11|9|10|14|12,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.485,61,stored_validation_ranks_51_100,22,False,16|3|7|13|11,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.473,62,stored_validation_ranks_51_100,29,False,7|16|11|10|9,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.189,63,stored_validation_ranks_51_100,27,False,8|3|7|15|3,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.395,64,stored_validation_ranks_51_100,17,False,13|16|7|16|3,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.237,65,stored_validation_ranks_51_100,26,False,15|2|13|7|11,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.372,66,stored_validation_ranks_51_100,29,False,16|12|6|13|13,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.472,67,stored_validation_ranks_51_100,28,False,14|3|15|16|3,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.436,68,stored_validation_ranks_51_100,11,True,2|13|12|6|13,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.454,69,stored_validation_ranks_51_100,29,False,14|6|7|6|5,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.377,70,stored_validation_ranks_51_100,31,False,12|11|6|16|2,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.212,71,stored_validation_ranks_51_100,16,False,7|11|12|13|4,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.123,72,stored_validation_ranks_51_100,20,False,6|9|15|9|5,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.288,73,stored_validation_ranks_51_100,25,False,16|7|8|12|10,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.349,74,stored_validation_ranks_51_100,21,False,14|14|3|9|13,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.510,75,stored_validation_ranks_51_100,29,False,15|6|10|9|5,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.376,76,stored_validation_ranks_51_100,23,False,11|9|3|16|9,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.305,77,stored_validation_ranks_51_100,31,False,16|9|3|3|11,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.496,78,stored_validation_ranks_51_100,17,False,14|6|12|2|7,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.261,79,stored_validation_ranks_51_100,22,False,16|13|7|6|12,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.252,80,stored_validation_ranks_51_100,17,False,12|12|10|6|11,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.208,81,stored_validation_ranks_51_100,15,False,4|9|12|12|4,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.230,82,stored_validation_ranks_51_100,22,False,6|4|10|9|11,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.452,83,stored_validation_ranks_51_100,31,False,12|16|15|6|11,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.498,84,stored_validation_ranks_51_100,30,False,11|2|6|14|10,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.271,85,stored_validation_ranks_51_100,23,False,11|11|8|13|12,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.450,86,stored_validation_ranks_51_100,10,True,3|5|9|2|10,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.46,87,stored_validation_ranks_51_100,20,False,2|14|7|16|2,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.308,88,stored_validation_ranks_51_100,29,False,13|4|14|12|13,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.163,89,stored_validation_ranks_51_100,21,False,10|8|3|15|11,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.246,90,stored_validation_ranks_51_100,29,False,4|13|9|12|13,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.438,91,stored_validation_ranks_51_100,21,False,7|2|4|13|9,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.362,92,stored_validation_ranks_51_100,32,False,14|8|10|5|13,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.136,93,stored_validation_ranks_51_100,23,False,11|16|13|11|4,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.250,94,stored_validation_ranks_51_100,30,False,15|6|9|10|10,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.247,95,stored_validation_ranks_51_100,32,False,15|11|2|9|6,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.382,96,stored_validation_ranks_51_100,19,False,14|7|8|9|12,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.307,97,stored_validation_ranks_51_100,31,False,6|9|9|9|12,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.339,98,stored_validation_ranks_51_100,23,False,14|5|2|11|9,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.426,99,stored_validation_ranks_51_100,26,False,14|4|5|11|13,invariant_tilde_f,"native max(log Q, -2)"
2864601_0.379,100,stored_validation_ranks_51_100,26,False,5|4|5|3|9,invariant_tilde_f,"native max(log Q, -2)"
