member_id,stored_validation_rank,cohort,cluster,bottleneck_width,narrow_bottleneck_C_le_11,prediction_profile_source,input_attribution,causal_signature_validity
2864601_0.235,36,stored_validation_ranks_11_50,2,27,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.405,37,stored_validation_ranks_11_50,2,15,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.398,38,stored_validation_ranks_11_50,2,14,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.358,39,stored_validation_ranks_11_50,2,26,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.242,40,stored_validation_ranks_11_50,2,31,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.490,41,stored_validation_ranks_11_50,2,28,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.263,42,stored_validation_ranks_11_50,2,28,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.211,43,stored_validation_ranks_11_50,2,28,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.292,44,stored_validation_ranks_11_50,2,21,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.276,45,stored_validation_ranks_11_50,2,32,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.427,46,stored_validation_ranks_11_50,2,29,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.461,47,stored_validation_ranks_11_50,2,29,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.471,48,stored_validation_ranks_11_50,2,30,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.440,49,stored_validation_ranks_11_50,2,16,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.457,50,stored_validation_ranks_11_50,2,24,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.400,51,stored_validation_ranks_51_100,2,27,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.385,52,stored_validation_ranks_51_100,2,21,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.350,53,stored_validation_ranks_51_100,2,27,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.416,54,stored_validation_ranks_51_100,2,14,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.342,55,stored_validation_ranks_51_100,2,31,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.359,56,stored_validation_ranks_51_100,2,23,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.475,57,stored_validation_ranks_51_100,2,30,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.462,58,stored_validation_ranks_51_100,4,7,True,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.268,59,stored_validation_ranks_51_100,1,28,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.262,60,stored_validation_ranks_51_100,2,27,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.485,61,stored_validation_ranks_51_100,2,22,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.473,62,stored_validation_ranks_51_100,2,29,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.189,63,stored_validation_ranks_51_100,2,27,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.395,64,stored_validation_ranks_51_100,2,17,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.237,65,stored_validation_ranks_51_100,2,26,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.372,66,stored_validation_ranks_51_100,2,29,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.472,67,stored_validation_ranks_51_100,2,28,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.436,68,stored_validation_ranks_51_100,2,11,True,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.454,69,stored_validation_ranks_51_100,2,29,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.377,70,stored_validation_ranks_51_100,2,31,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.212,71,stored_validation_ranks_51_100,2,16,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.123,72,stored_validation_ranks_51_100,2,20,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.288,73,stored_validation_ranks_51_100,2,25,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.349,74,stored_validation_ranks_51_100,2,21,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.510,75,stored_validation_ranks_51_100,2,29,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.376,76,stored_validation_ranks_51_100,2,23,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.305,77,stored_validation_ranks_51_100,2,31,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.496,78,stored_validation_ranks_51_100,2,17,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.261,79,stored_validation_ranks_51_100,2,22,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.252,80,stored_validation_ranks_51_100,2,17,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.208,81,stored_validation_ranks_51_100,2,15,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.230,82,stored_validation_ranks_51_100,2,22,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.452,83,stored_validation_ranks_51_100,2,31,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.498,84,stored_validation_ranks_51_100,2,30,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.271,85,stored_validation_ranks_51_100,2,23,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.450,86,stored_validation_ranks_51_100,1,10,True,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.46,87,stored_validation_ranks_51_100,2,20,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.308,88,stored_validation_ranks_51_100,2,29,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.163,89,stored_validation_ranks_51_100,2,21,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.246,90,stored_validation_ranks_51_100,2,29,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.438,91,stored_validation_ranks_51_100,2,21,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.362,92,stored_validation_ranks_51_100,2,32,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.136,93,stored_validation_ranks_51_100,2,23,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.250,94,stored_validation_ranks_51_100,2,30,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.247,95,stored_validation_ranks_51_100,2,32,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.382,96,stored_validation_ranks_51_100,1,19,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.307,97,stored_validation_ranks_51_100,2,31,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.339,98,stored_validation_ranks_51_100,2,23,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.426,99,stored_validation_ranks_51_100,2,26,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
2864601_0.379,100,stored_validation_ranks_51_100,2,26,False,"native max(log Q, -2)",signed robust-IQR-scaled canonical gradient,deliberately_off_manifold_diagnostic
