quantity,member_id,analysis_kind,estimate,ci95_lower,ci95_upper,bootstrap_replicates,bootstrap_unit,estimand,validity_tag,pairing_scope,function,mode,best_lag,circular_spearman,overlap_at_fixed_sparsity,lag_recurrence,source_family,source_id,method
learned_Qz_spatial_spearman,2864601_0.409,paired_fixed_minus_varied_same_geometry,0.04132684171713171,0.027790840931893192,0.055722896884577724,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",original_f,positive_contribution,,,,,s06_attribution,ig_low_pass:channel_position_marginal,ig_low_pass
learned_Qz_spatial_spearman,2864601_0.437,paired_fixed_minus_varied_same_geometry,0.15922479210624516,0.13748126406153763,0.181209460859731,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",original_f,positive_contribution,,,,,s06_attribution,periodic_mask:channel_position_marginal,periodic_mask
learned_Qz_spatial_spearman,2864601_0.371,paired_fixed_minus_varied_same_geometry,0.17737637359923097,0.1560792267946882,0.20075819043205104,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",original_f,positive_contribution,,,,,s06_attribution,periodic_mask:channel_position_marginal,periodic_mask
learned_Qz_spatial_spearman,2864601_0.409,paired_fixed_minus_varied_same_geometry,0.14531248894849538,0.12510121969743507,0.1669055898019187,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",original_f,positive_contribution,,,,,s06_attribution,periodic_mask:channel_position_marginal,periodic_mask
learned_Qz_spatial_spearman,2864601_0.437,paired_fixed_minus_varied_same_geometry,-0.0028814983776147196,-0.010539569522497363,0.005295555873199841,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",invariant_tilde_f,signed,,,,,s06_attribution,ig_low_pass:channel_position_marginal,ig_low_pass
learned_Qz_spatial_spearman,2864601_0.437,paired_fixed_minus_varied_same_geometry,0.07258076682078025,0.0584285989825827,0.08797699176974362,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",invariant_tilde_f,positive_contribution,,,,,s06_attribution,ig_low_pass:channel_position_marginal,ig_low_pass
learned_Qz_spatial_spearman,2864601_0.371,paired_fixed_minus_varied_same_geometry,0.023059779739528927,0.01216338718535096,0.035363603591764964,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",invariant_tilde_f,signed,,,,,s06_attribution,ig_low_pass:channel_position_marginal,ig_low_pass
learned_Qz_spatial_spearman,2864601_0.371,paired_fixed_minus_varied_same_geometry,0.07773434965201602,0.06184714295136186,0.0934439212364436,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",invariant_tilde_f,positive_contribution,,,,,s06_attribution,ig_low_pass:channel_position_marginal,ig_low_pass
learned_Qz_spatial_spearman,2864601_0.409,paired_fixed_minus_varied_same_geometry,-0.021462452712080207,-0.03111538065380758,-0.011602077293948028,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",invariant_tilde_f,signed,,,,,s06_attribution,ig_low_pass:channel_position_marginal,ig_low_pass
learned_Qz_spatial_spearman,2864601_0.409,paired_fixed_minus_varied_same_geometry,0.0526670372309087,0.03885931306311004,0.06801255530333955,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",invariant_tilde_f,positive_contribution,,,,,s06_attribution,ig_low_pass:channel_position_marginal,ig_low_pass
learned_Qz_spatial_spearman,2864601_0.437,paired_fixed_minus_varied_same_geometry,0.1562141379311034,0.13460236130480846,0.17982375195509737,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",invariant_tilde_f,positive_contribution,,,,,s06_attribution,periodic_mask:channel_position_marginal,periodic_mask
learned_Qz_spatial_spearman,2864601_0.371,paired_fixed_minus_varied_same_geometry,0.17559227753406767,0.1534425875783231,0.19807232489347107,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",invariant_tilde_f,positive_contribution,,,,,s06_attribution,periodic_mask:channel_position_marginal,periodic_mask
learned_Qz_spatial_spearman,2864601_0.409,paired_fixed_minus_varied_same_geometry,0.14218971780109688,0.11903570170141536,0.1645385054322484,500,equilibrium_files,fixed-minus-varied within-tube Spearman at each set's selected lag,observed-comparison,"same geometry; fixed panel holds drive at (3,0.9) across geometries, while within-pair varied drives may differ",invariant_tilde_f,positive_contribution,,,,,s06_attribution,periodic_mask:channel_position_marginal,periodic_mask
